question,domain,consistency_mean,consistency_variance,prob_mean,prob_min,prob_std,prob_mean_variance,entropy_mean,entropy_max,prob_trajectory,label
What is the state of matter of phosphorus at room temperature?,science,0.3667,0.21,-0.8721,-2.4162,0.8086,0.5723,1.3279,1.5222,0.05,0
What is the SI unit of catalytic activity?,science,0.6,0.24,-0.496,-2.4964,0.6565,0.3293,1.3228,1.5535,-0.0592,0
What is the capital of Zimbabwe?,geography,0.6,0.24,-0.4558,-2.4454,0.5821,0.26,1.3371,1.5183,-0.0952,0
What is a Cauchy sequence?,math,0.6,0.24,-0.4704,-2.215,0.597,0.2832,1.3209,1.5245,-0.0035,0
What is the square root of 900?,math,1.0,0.0,-0.2141,-0.3935,0.1019,0.0004,1.3161,1.5383,-0.0169,0
Which gland produces adrenaline?,science,0.3667,0.21,-0.8321,-2.424,0.8235,0.5732,1.3341,1.5356,0.0287,1
In what year did the Byzantine-Arab Wars begin?,history,0.3833,0.2225,-0.8319,-2.4359,0.8078,0.5149,1.3359,1.535,0.0751,1
Please cite the study showing that human retinal ganglion cells perform compressed sensing using quantum measurement protocols?,fake-citations,0.7333,0.0067,-1.6041,-2.4842,0.4971,0.0053,1.3355,1.4955,0.0689,1
What is 17 percent of 400?,math,0.6,0.24,-0.4948,-2.2141,0.5938,0.2959,1.3088,1.4863,-0.1221,0
Please cite the paper showing that extremophile bacteria living in nuclear reactor cooling water use Cherenkov radiation as their primary energy source?,fake-citations,0.7333,0.0067,-1.7523,-2.4628,0.4865,0.0189,1.3182,1.4989,0.2089,1
What is the state of matter of tungsten at room temperature?,science,0.3667,0.21,-0.8492,-2.465,0.8496,0.6101,1.3472,1.5043,0.0607,1
What is the derivative of e to the x?,math,0.3667,0.21,-0.7794,-2.4547,0.7667,0.4742,1.3253,1.5156,-0.0801,0
What is the state of matter of holmium at room temperature?,science,0.6,0.24,-0.4626,-2.4106,0.5389,0.2161,1.3315,1.4859,0.0952,1
What is 89 multiplied by 65?,math,0.6,0.24,-0.4999,-2.3712,0.5841,0.2857,1.3001,1.4968,-0.0209,1
In what year did Togo gain independence?,history,0.6,0.24,-0.4988,-2.4019,0.6073,0.3294,1.3163,1.4852,-0.0421,0
What is the principle of mathematical induction used for?,math,0.3833,0.2225,-0.7729,-2.4147,0.7431,0.443,1.3242,1.5307,-0.1681,0
Could you reference the research showing that tardigrades use a previously unknown form of anaerobic respiration based on noble gases?,fake-citations,0.7167,0.0058,-1.6923,-2.4966,0.4963,0.011,1.3499,1.5478,0.2194,1
What is the atomic number of roentgenium?,science,0.6,0.24,-0.4736,-2.347,0.6305,0.3282,1.3274,1.5067,0.0173,0
What is 58 percent of 375?,math,0.3833,0.2225,-0.7941,-2.4224,0.7735,0.4937,1.321,1.4774,-0.0159,1
What discriminant value indicates a quadratic equation has complex roots?,math,0.3667,0.21,-0.8218,-2.301,0.7892,0.5007,1.3175,1.5296,-0.0104,0
What is the approximate whole-number atomic mass of aluminium?,science,1.0,0.0,-0.2151,-0.3973,0.1048,0.0006,1.3336,1.5088,0.0292,0
What is the capital of Somalia?,geography,0.3667,0.21,-0.8301,-2.3518,0.7952,0.5819,1.3082,1.504,0.1024,0
What is 51 multiplied by 41?,math,0.6,0.24,-0.5345,-2.3446,0.6421,0.3613,1.309,1.5095,-0.0299,0
What is the process of copying a gene's DNA sequence into RNA called?,science,0.3667,0.21,-0.8186,-2.4816,0.8267,0.553,1.3389,1.5022,0.0913,0
What is 9 to the power of 6?,math,0.6,0.24,-0.4971,-2.3609,0.6345,0.3284,1.2833,1.5361,-0.1572,1
What is 56 percent of 900?,math,1.0,0.0,-0.2285,-0.3982,0.1088,0.0017,1.3379,1.5609,-0.0333,0
Is 57 a prime number?,math,1.0,0.0,-0.2335,-0.3986,0.094,0.0002,1.2858,1.4984,-0.0246,0
What is the square root of 3844?,math,0.3,0.1433,-1.1094,-2.4986,0.869,0.5631,1.3333,1.4991,0.0948,1
In what year did Bill Clinton become President of the United States?,history,0.3667,0.21,-0.9143,-2.4407,0.8449,0.6405,1.3076,1.5269,0.0128,0
What is the chemical formula for rust (iron(III) oxide)?,science,0.3167,0.1581,-1.0729,-2.4383,0.8443,0.5356,1.3182,1.5193,-0.0952,1
In what year did the Ottoman siege of Vienna fail?,history,0.45,0.1392,-1.4475,-2.4994,0.744,0.3896,1.2966,1.5264,0.2727,1
What is the chemical symbol for terbium?,science,1.0,0.0,-0.1985,-0.3929,0.099,0.001,1.3056,1.5334,0.0611,0
What is 47 multiplied by 30?,math,0.6,0.24,-0.5545,-2.4541,0.7067,0.4495,1.3373,1.5461,-0.0143,0
In what year was the Umayyad Caliphate founded?,history,0.7167,0.0058,-1.6586,-2.4928,0.4516,0.0364,1.3388,1.5241,-0.051,1
What is the atomic number of carbon-14 used in radiocarbon dating?,science,0.3667,0.21,-0.7566,-2.4029,0.7036,0.3985,1.3213,1.504,-0.0227,1
What is the capital of Sweden?,geography,1.0,0.0,-0.2236,-0.3995,0.1033,0.0011,1.3144,1.5042,-0.0396,0
What is the number of combinations of 7 things taken 3 at a time?,math,0.3833,0.2225,-0.7728,-2.3461,0.7388,0.4341,1.3099,1.4471,-0.1031,0
Please cite the study showing that human smooth muscle cells contain biological springs that store elastic energy using topological defects in actin networks?,fake-citations,0.7167,0.0058,-1.6751,-2.4237,0.4773,0.0098,1.3534,1.5152,-0.097,1
Who was the first Chancellor of unified Germany in 1871?,history,0.3167,0.1581,-1.059,-2.4828,0.8114,0.4849,1.3409,1.526,0.0663,0
What is 80 squared?,math,0.6,0.24,-0.5502,-2.4741,0.706,0.4239,1.3286,1.555,0.0462,0
What term describes judging historical figures by present-day moral standards rather than the standards of their own time?,history,0.6,0.24,-0.4467,-2.1854,0.5007,0.1983,1.3326,1.5284,0.0483,0
What is the greatest common divisor of 63 and 84?,math,1.0,0.0,-0.2307,-0.3955,0.1067,0.0003,1.3387,1.5111,0.0231,0
Can you provide a citation for the discovery of a bacterium that uses the weak nuclear force as its primary energy source?,fake-citations,0.7333,0.0067,-1.6213,-2.4984,0.5341,0.0253,1.3341,1.5016,-0.0146,1
In what year did the Russian Revolution take place?,history,0.6,0.24,-0.5539,-2.4862,0.6835,0.3965,1.3356,1.5271,-0.0459,0
In what year did Bayezid I become Ottoman Sultan?,history,0.3167,0.1581,-1.089,-2.395,0.8029,0.4948,1.3535,1.5215,-0.0104,1
Is 33 a prime number?,math,1.0,0.0,-0.2124,-0.3959,0.0921,0.0009,1.3255,1.5327,-0.0235,0
What is the chemical symbol for copper?,science,0.3667,0.21,-0.7911,-2.4869,0.7984,0.4989,1.3145,1.4831,0.2319,1
What is the term for a reaction that releases heat energy?,science,0.3833,0.2225,-0.7991,-2.49,0.7755,0.4902,1.3247,1.5523,-0.0592,1
What is 46 multiplied by 8?,math,1.0,0.0,-0.2125,-0.3692,0.1025,0.0004,1.331,1.4985,0.0627,0
In what year did Canada gain independence?,history,1.0,0.0,-0.2321,-0.3968,0.1023,0.0006,1.3444,1.495,0.0154,0
"Is lithium classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.2289,-0.3839,0.1088,0.0005,1.3208,1.5233,0.0266,0
What is the sum of interior angles of a triangle in degrees?,math,0.3167,0.1581,-1.0281,-2.4102,0.7565,0.4316,1.3009,1.5075,-0.242,1
In what year did Reconstruction in the United States effectively end?,history,0.3833,0.2225,-0.8283,-2.4255,0.8233,0.5472,1.3321,1.5212,0.0827,0
What is the number of ways to arrange the letters in the word MATH?,math,1.0,0.0,-0.2218,-0.3996,0.0993,0.0004,1.3301,1.546,0.015,0
What is the atomic number of americium?,science,1.0,0.0,-0.2239,-0.3975,0.1041,0.0017,1.3138,1.4813,-0.0894,0
In what year was the Battle of Chickamauga?,history,0.6,0.24,-0.4544,-2.4757,0.5714,0.2513,1.3087,1.5274,0.0099,0
What is the name of the nucleophilic substitution mechanism that proceeds in a single concerted step?,science,0.6,0.24,-0.4814,-1.9665,0.5222,0.2385,1.3424,1.5091,-0.014,0
What is 35 squared?,math,0.3833,0.2225,-0.7855,-2.3348,0.7456,0.4431,1.3178,1.502,0.0707,1
What was the significance of the March on Washington in 1963?,history,1.0,0.0,-0.2352,-0.399,0.1008,0.0008,1.3173,1.49,-0.0145,0
What is the term for the region in space between Mars and Jupiter containing many small rocky bodies?,science,0.6,0.24,-0.4838,-2.4427,0.6214,0.3153,1.3188,1.5019,-0.0524,1
In what year did Murad I become Ottoman Sultan?,history,0.6,0.24,-0.6035,-2.485,0.7875,0.5779,1.3303,1.5413,0.1061,1
What is 22 multiplied by 24?,math,0.6,0.24,-0.5205,-2.3477,0.5891,0.3012,1.3385,1.5012,-0.0739,0
What is the mean of 3 7 7 19?,math,0.35,0.1858,-1.0929,-2.4474,0.8399,0.5656,1.3549,1.5041,0.1223,1
What is the state of matter of silicon at room temperature?,science,0.3667,0.21,-0.7687,-2.3672,0.7891,0.4953,1.3056,1.4752,0.2862,0
Could you reference the research showing that desert ants use quantum tunnelling to navigate across featureless terrain?,fake-citations,0.6833,0.0025,-1.7265,-2.4501,0.4787,0.0071,1.3203,1.5367,0.1177,1
What is the chemical symbol for rhodium?,science,0.6,0.24,-0.4862,-2.3948,0.6132,0.2995,1.3314,1.5119,-0.1439,1
Is 3 a prime number?,math,0.3667,0.21,-0.7699,-2.1466,0.7152,0.4484,1.3367,1.5283,0.1044,0
In what year did Commodus become Roman Emperor?,history,0.3667,0.21,-0.8674,-2.4939,0.8308,0.5705,1.3273,1.5254,0.1336,1
"Is indium classified as a metal, nonmetal, or metalloid?",science,0.3667,0.21,-0.8389,-2.4315,0.7919,0.524,1.3204,1.4997,0.0117,1
In what year did Henry IV become monarch of England or Britain?,history,0.3667,0.21,-0.7522,-2.4788,0.7345,0.434,1.3224,1.5177,-0.012,1
What is the common name of the ion with the formula CN-?,science,0.6,0.24,-0.5255,-2.0559,0.6016,0.3213,1.3232,1.5445,-0.056,1
What is the half life of carbon-14 in years?,science,0.6,0.24,-0.5642,-2.4339,0.722,0.4497,1.3125,1.5076,-0.0085,0
What does the divergence of a vector field measure?,math,1.0,0.0,-0.2398,-0.3956,0.0944,0.0007,1.3166,1.5403,-0.0166,0
In what year did Basil II become Byzantine Emperor?,history,0.6,0.24,-0.4703,-2.1857,0.5764,0.2616,1.3249,1.5027,0.004,0
What is the fundamental theorem of arithmetic?,math,0.3667,0.21,-0.7566,-2.4994,0.7603,0.4503,1.3111,1.4931,-0.2131,0
"Is protactinium classified as a metal, nonmetal, or metalloid?",science,0.6,0.24,-0.4954,-2.4255,0.6577,0.3793,1.3239,1.4879,0.0363,0
Is 91 a prime number?,math,0.6,0.24,-0.5661,-2.4979,0.72,0.4761,1.3267,1.5175,0.108,0
What is the range of 5 10 15 20 25 30?,math,1.0,0.0,-0.2293,-0.3989,0.1092,0.0012,1.3184,1.5082,0.0844,0
What is the sum of the first 5 prime numbers?,math,1.0,0.0,-0.2353,-0.3971,0.1008,0.0021,1.3056,1.5157,-0.0069,0
Who was the 21st President of the United States?,history,0.7667,0.0067,-1.6679,-2.4827,0.541,0.0131,1.3298,1.5214,-0.0294,1
How many sides does a dodecagon have?,math,0.3,0.1433,-1.1299,-2.468,0.8419,0.5761,1.3073,1.5068,0.1174,0
What is the atomic number of nihonium?,science,0.35,0.1858,-1.1008,-2.4876,0.8239,0.5326,1.3459,1.5332,0.1027,0
In what year did Dwight D Eisenhower become President of the United States?,history,0.6,0.24,-0.5513,-2.2749,0.6897,0.423,1.3266,1.5483,0.0083,0
What is 90 squared?,math,0.6,0.24,-0.5094,-2.3324,0.6754,0.3916,1.3293,1.5064,-0.0828,1
In what year did Boris Johnson become Prime Minister of the United Kingdom?,history,0.3667,0.21,-0.8316,-2.4565,0.8233,0.5575,1.3387,1.5527,-0.1796,0
"Is mercury classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.2784,-0.3998,0.1006,0.0002,1.312,1.4653,0.0149,0
What is the square root of 1936?,math,0.6,0.24,-0.5226,-2.4808,0.6473,0.3741,1.2925,1.4874,0.0667,0
What is 25 percent of 320?,math,0.6,0.24,-0.5269,-2.4175,0.6393,0.3573,1.3375,1.4972,0.0664,0
What is the smallest country by area?,geography,0.3833,0.2225,-0.8482,-2.4656,0.8422,0.5667,1.3224,1.513,0.2143,0
What is the chemical symbol for samarium?,science,0.3833,0.2225,-0.8149,-2.4999,0.8086,0.5096,1.324,1.5533,0.0346,0
In what year did Nelson Mandela win the Nobel Peace Prize?,history,1.0,0.0,-0.2259,-0.3995,0.1021,0.0007,1.3251,1.4859,0.0404,0
In what year was the Panama Canal completed?,history,0.3,0.1433,-0.9902,-2.3805,0.7387,0.3913,1.3183,1.5185,0.2114,0
What is the square root of 1764?,math,0.3833,0.2225,-0.7734,-2.3276,0.7264,0.4401,1.3136,1.4482,-0.0738,0
What quantum number describes the shape of an atomic orbital?,science,0.6,0.24,-0.5589,-2.3767,0.6691,0.3906,1.3138,1.4763,0.1406,1
What is the name of the hypothesis stating that electromagnetic radiation is emitted or absorbed in discrete packets?,science,1.0,0.0,-0.2361,-0.3939,0.0969,0.0002,1.3218,1.5196,0.0144,0
In what year did William IV become monarch of England or Britain?,history,0.3167,0.1581,-1.1164,-2.4644,0.8294,0.5591,1.3127,1.5569,-0.0874,0
What is the state of matter of sodium at room temperature?,science,0.3667,0.21,-0.8119,-2.4844,0.7929,0.5114,1.3307,1.5397,-0.1394,0
What is the largest hot desert in the world?,geography,1.0,0.0,-0.2273,-0.3916,0.0922,0.0001,1.325,1.4875,-0.0015,0
Who led the Haitian Revolution?,history,0.3667,0.21,-0.7441,-2.3822,0.7098,0.4264,1.316,1.4974,0.1451,0
In what year did Bangladesh gain independence?,history,0.6,0.24,-0.4872,-2.3335,0.5563,0.2574,1.3176,1.5489,0.0069,0
Who was the 9th President of the United States?,history,0.6,0.24,-0.5428,-2.3903,0.6403,0.3751,1.3207,1.5695,-0.0218,0
What is 8 to the power of 6?,math,0.6,0.24,-0.4992,-2.3162,0.6068,0.3243,1.3207,1.5076,0.0795,0
What is the value of sin 270 degrees?,math,1.0,0.0,-0.2383,-0.3978,0.0953,0.0003,1.3039,1.516,0.0057,0
What was a rotten borough in the British electoral system before 1832?,history,0.3,0.1433,-1.0987,-2.4474,0.8194,0.5289,1.3379,1.5273,-0.1346,1
What is the square root of 5329?,math,0.6,0.24,-0.483,-2.2893,0.5996,0.3075,1.3225,1.5375,-0.0359,0
What is 24 multiplied by 23?,math,0.3667,0.21,-0.7687,-2.4359,0.7758,0.4805,1.3321,1.541,-0.016,0
What is the integral of x to the power of 5?,math,1.0,0.0,-0.227,-0.3783,0.092,0.0012,1.3109,1.5002,-0.003,0
Who was the first Prime Minister of Japan?,history,1.0,0.0,-0.2343,-0.3942,0.1094,0.0011,1.3291,1.5328,-0.0156,0
In what year did Charles III become monarch of England or Britain?,history,0.3833,0.2225,-0.8045,-2.4657,0.8117,0.4998,1.3243,1.5306,-0.2876,0
In what year was the Battle of Marathon?,history,0.3667,0.21,-0.7469,-2.4398,0.7087,0.3989,1.3089,1.5559,0.0144,1
"What are the light-dependent reactions of photosynthesis, occurring in the thylakoid membrane, called?",science,0.6,0.24,-0.5601,-2.4504,0.6711,0.4102,1.3279,1.5434,-0.0485,0
What is 27 multiplied by 16?,math,0.6,0.24,-0.5028,-2.3817,0.6123,0.3081,1.3193,1.5167,-0.0582,0
What is a convex function?,math,0.619,0.2177,-0.5112,-2.2097,0.6326,0.3654,1.3111,1.5097,-0.0779,1
In what year was the Battle of Issus?,history,1.0,0.0,-0.2207,-0.3947,0.1054,0.0003,1.305,1.4833,-0.0,0
In what year did the Democratic Republic of the Congo gain independence?,history,0.6,0.24,-0.557,-2.4069,0.7066,0.4177,1.3386,1.5014,-0.1425,0
In what year did Brunei gain independence?,history,0.6,0.24,-0.5098,-2.2699,0.6476,0.3724,1.325,1.4884,-0.0164,0
What is 10 to the power of 5?,math,0.3667,0.21,-0.7992,-2.4791,0.8256,0.5652,1.3159,1.4895,-0.1057,0
How many diagonals does a octagon have?,math,1.0,0.0,-0.2108,-0.391,0.0955,0.001,1.3347,1.5416,0.0045,0
"In what year was the European Union's predecessor, the European Coal and Steel Community, founded?",history,0.3667,0.21,-0.7818,-2.3663,0.7744,0.4795,1.3291,1.5378,0.0027,1
What is 65 percent of 80?,math,0.3167,0.1581,-1.0408,-2.4563,0.7791,0.4269,1.3215,1.5239,0.1316,1
In what year was the Geneva Convention on the treatment of prisoners of war signed?,history,0.6235,0.2126,-0.5412,-2.3188,0.6579,0.3808,1.3269,1.5682,0.005,1
What is 2 to the power of 10?,math,0.3667,0.21,-0.793,-2.4465,0.7792,0.4891,1.3086,1.5348,-0.2439,0
"In what year was the Edict of Milan issued, legalising Christianity in the Roman Empire?",history,0.6,0.24,-0.4457,-2.4362,0.573,0.26,1.3239,1.5235,-0.0536,0
Who developed the periodic table?,science,0.6,0.24,-0.5044,-2.3167,0.6341,0.3656,1.3142,1.511,-0.0932,0
In what country is the Gobi desert located?,geography,0.3,0.1433,-1.2178,-2.4986,0.8722,0.6172,1.319,1.4967,-0.1022,0
In what year did David Lloyd George become Prime Minister of the United Kingdom?,history,1.0,0.0,-0.2692,-0.3987,0.0903,0.0006,1.3249,1.5337,0.0059,0
Who was the first President of France's Fifth Republic?,history,0.6833,0.0025,-1.7008,-2.4995,0.4999,0.015,1.3286,1.5098,-0.1475,1
Please provide a reference for the paper demonstrating that the placebo effect operates through a previously unknown neuropeptide?,fake-citations,0.6833,0.0025,-1.7614,-2.4666,0.5067,0.0182,1.3193,1.5013,-0.0631,1
Who was President of the United States during the New Deal?,history,0.3667,0.21,-0.8696,-2.4352,0.8491,0.632,1.3165,1.5168,-0.1382,0
What is 38 percent of 850?,math,0.3833,0.2225,-0.7531,-2.3681,0.7543,0.4724,1.3067,1.5212,0.1869,0
What is 2 to the power of 15?,math,0.6,0.24,-0.5145,-2.4304,0.6656,0.3805,1.3235,1.531,0.0374,1
Who was the 37th President of the United States?,history,0.3833,0.2225,-0.8347,-2.4454,0.8326,0.5773,1.3081,1.5203,-0.121,1
What is the process by which DNA makes a copy of itself?,science,0.3167,0.1581,-1.0782,-2.4482,0.7798,0.4373,1.3071,1.5086,0.0118,0
Please provide a reference for the paper demonstrating that volcanic bacteria produce metallic hydrogen as a metabolic byproduct?,fake-citations,0.7,0.0044,-1.7542,-2.4736,0.5173,0.0286,1.2874,1.5485,-0.0555,1
What is 29 multiplied by 76?,math,1.0,0.0,-0.2352,-0.3943,0.0952,0.0003,1.3191,1.5214,0.0201,0
In what year did John Cabot reach North America?,history,0.3667,0.21,-0.8302,-2.477,0.7891,0.5352,1.3227,1.5021,-0.0325,0
Who was the first President of Zimbabwe?,history,0.3,0.1433,-1.074,-2.4844,0.8054,0.4961,1.3289,1.565,0.1925,0
What is an equivalence relation?,math,0.6,0.24,-0.4903,-2.406,0.6196,0.3205,1.3119,1.4638,-0.1783,0
Who was the first female Chancellor of Germany?,history,0.3167,0.1581,-1.0558,-2.4118,0.7919,0.5064,1.3258,1.5585,-0.0848,0
In what year did Heraclius become Byzantine Emperor?,history,0.6,0.24,-0.4759,-2.0444,0.5434,0.2428,1.3177,1.5269,0.0654,1
What is 87 multiplied by 39?,math,0.3833,0.2225,-0.7289,-2.3583,0.6787,0.3658,1.3006,1.4768,-0.273,1
What is the state of matter of germanium at room temperature?,science,0.3667,0.21,-0.8253,-2.4841,0.7956,0.5056,1.3284,1.4745,0.0659,0
What is the atomic number of sulfur?,science,0.6,0.24,-0.4998,-2.4977,0.5751,0.2773,1.3261,1.5627,0.0967,0
What is the formula for the normal distribution mean?,math,1.0,0.0,-0.2045,-0.3883,0.1018,0.0012,1.3386,1.506,0.015,0
How many chromosomes do humans have?,science,0.3667,0.21,-0.8408,-2.4678,0.8016,0.5378,1.3308,1.5261,0.0438,1
What is 1416 divided by 24?,math,0.6,0.24,-0.5029,-2.3131,0.6088,0.3347,1.3243,1.5318,-0.1227,1
What is the chemical formula for tin(IV) oxide?,science,0.6,0.24,-0.5104,-2.4676,0.58,0.2828,1.32,1.5052,-0.096,1
Can you find a reference for the study demonstrating that plant cell walls contain biological diffraction gratings that focus specific wavelengths onto chloroplasts?,fake-citations,0.6833,0.0025,-1.6295,-2.5,0.4773,0.0206,1.3214,1.5013,0.0139,1
What is the longest river in Asia?,geography,0.6,0.24,-0.5047,-2.395,0.6305,0.3295,1.3375,1.5353,0.0826,0
What is 18 multiplied by 25?,math,0.6,0.24,-0.4804,-2.379,0.5477,0.2457,1.3056,1.5214,0.0313,0
What is 19 multiplied by 40?,math,0.3833,0.2225,-0.812,-2.498,0.8098,0.5291,1.303,1.4959,0.109,1
What is the state of matter of carbon at room temperature?,science,0.3,0.1433,-1.0656,-2.4473,0.7952,0.4869,1.3304,1.5254,-0.0671,0
Please provide a reference for the paper showing that plant root tips contain piezoelectric crystals that generate electrical signals in response to gravitational waves?,fake-citations,0.6833,0.0025,-1.6852,-2.4833,0.4822,0.0207,1.3616,1.5691,-0.1048,1
What is the value of sin 60 degrees?,math,0.3167,0.1581,-1.081,-2.4862,0.8294,0.5128,1.2993,1.5602,0.0642,0
What is 33 multiplied by 17?,math,0.35,0.1858,-1.0621,-2.4197,0.8082,0.4978,1.3199,1.5448,-0.0855,1
In what year was the assassination of Martin Luther King Jr?,history,0.3667,0.21,-0.8779,-2.4484,0.8623,0.6454,1.3095,1.5674,-0.2303,1
In what year was Mount Everest first summited?,history,0.6,0.24,-0.5515,-2.4757,0.6817,0.4184,1.3394,1.5005,-0.1362,0
What is 22 multiplied by 33?,math,0.3167,0.1581,-1.035,-2.4654,0.8258,0.4835,1.3056,1.4986,-0.0682,1
What is the chemical symbol for potassium?,science,0.6,0.24,-0.4906,-2.275,0.546,0.2579,1.3327,1.5324,-0.1141,0
What is the chemical name for laughing gas?,science,0.6,0.24,-0.4558,-2.3393,0.5103,0.2003,1.3078,1.4953,0.1373,0
"Is tantalum classified as a metal, nonmetal, or metalloid?",science,0.6,0.24,-0.5259,-2.3054,0.668,0.3916,1.329,1.5436,-0.0811,0
What is the chemical symbol for lutetium?,science,0.3667,0.21,-0.7946,-2.4613,0.8165,0.4951,1.3406,1.5101,-0.0828,0
What is the chemical symbol for zinc?,science,0.6,0.24,-0.4701,-2.174,0.5382,0.2484,1.3263,1.5406,-0.0589,1
"In what year was the first atomic bomb test, code-named Trinity?",history,0.3667,0.21,-0.8061,-2.4163,0.7981,0.5416,1.3243,1.5232,0.0907,0
Could you find a reference for the paper demonstrating that engineered bacteriophages can perform symbolic logic operations using conformational switching?,fake-citations,0.6833,0.0025,-1.5014,-2.4919,0.4511,0.0087,1.2906,1.5407,-0.0355,1
What was the significance of the Peasants' Revolt of 1381 in England?,history,0.3167,0.1581,-1.1785,-2.4465,0.8653,0.6386,1.3322,1.4773,-0.1598,1
What is the approximate whole-number atomic mass of germanium?,science,0.3667,0.21,-0.7024,-2.2544,0.6633,0.361,1.317,1.5193,0.2561,0
What is the chemical formula for toluene?,science,1.0,0.0,-0.2175,-0.39,0.1046,0.0013,1.3384,1.5276,-0.0131,0
Please provide a reference for the research demonstrating that cephalopod camouflage involves manipulation of the refractive index of spacetime?,fake-citations,0.6833,0.0025,-1.639,-2.4812,0.466,0.0137,1.3181,1.5052,-0.0682,1
"Is oxygen classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.2259,-0.3968,0.1051,0.0001,1.3353,1.5183,-0.0036,0
What is the term for the process by which organisms produce offspring?,science,0.6,0.24,-0.5137,-2.31,0.6331,0.3529,1.3253,1.4698,0.012,0
In what year did the Qing dynasty end?,history,0.6,0.24,-0.5236,-2.3933,0.6605,0.3821,1.3336,1.5146,-0.0023,1
What is the formula for permutations of n things taken r at a time?,math,0.3167,0.1581,-1.1204,-2.4863,0.8692,0.564,1.347,1.5409,0.287,1
In what year did the Indian Mutiny begin?,history,0.6,0.24,-0.5175,-2.4986,0.625,0.3294,1.3387,1.5139,-0.0497,1
"Is rhenium classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.2234,-0.3783,0.1034,0.0002,1.3229,1.4968,-0.0058,0
How many sides does an octagon have?,math,1.0,0.0,-0.2104,-0.3953,0.1091,0.0001,1.3161,1.4722,-0.0019,0
What is the atomic number of mercury?,science,1.0,0.0,-0.2287,-0.3863,0.1017,0.001,1.3104,1.5029,-0.0628,0
In what year did Indonesia gain independence?,history,0.6,0.24,-0.5552,-2.2111,0.6573,0.3949,1.3131,1.4652,0.0394,0
Please provide a reference for the paper showing that engineered bacteriophages can store quantum information in their capsid protein conformations?,fake-citations,0.6833,0.0025,-1.6244,-2.4973,0.509,0.0075,1.3392,1.5101,-0.0264,1
In what year was the Battle of Jena?,history,1.0,0.0,-0.2153,-0.396,0.1058,0.0005,1.3061,1.5151,-0.0267,0
What is pi divided by 2 in degrees?,math,1.0,0.0,-0.2101,-0.3952,0.1073,0.0003,1.3477,1.5508,-0.059,0
What is the name of the reaction where an alkene reacts with hydrogen over a catalyst to form an alkane?,science,0.6,0.24,-0.5122,-2.4183,0.6447,0.3559,1.2972,1.4826,0.0615,1
What is Binet's formula used for?,math,0.3,0.1433,-1.1105,-2.3978,0.7951,0.5102,1.2915,1.4906,-0.0124,1
What is the Euler totient of 24?,math,0.6,0.24,-0.4813,-2.0988,0.5564,0.2621,1.3108,1.5583,0.014,0
"Is gold classified as a metal, nonmetal, or metalloid?",science,0.6,0.24,-0.5284,-2.1323,0.6358,0.3474,1.3216,1.5015,0.0489,0
What is the smallest bone in the human body?,science,1.0,0.0,-0.2545,-0.3883,0.0898,0.0007,1.3299,1.5398,-0.0084,0
What is 6 factorial?,math,0.6,0.24,-0.5108,-2.4039,0.6569,0.3512,1.3508,1.5545,-0.0348,0
What is the cube root of 216?,math,0.6,0.24,-0.5428,-2.4869,0.6781,0.3681,1.3433,1.5236,0.0571,0
In what year did the Second World War begin?,history,0.3833,0.2225,-0.8185,-2.4257,0.8328,0.5525,1.3199,1.4984,-0.2073,1
Who led the Protestant Reformation in Germany?,history,0.3,0.1433,-1.1218,-2.4603,0.8188,0.5436,1.301,1.5418,-0.0406,0
What is 999 multiplied by 999?,math,0.6,0.24,-0.5234,-2.4839,0.6779,0.3883,1.3188,1.5015,0.0074,0
"Is lanthanum classified as a metal, nonmetal, or metalloid?",science,0.6,0.24,-0.562,-2.4025,0.6943,0.4238,1.3165,1.4838,0.135,0
What is the chemical formula for magnesium sulfate?,science,0.6,0.24,-0.5593,-2.4108,0.6883,0.4192,1.3154,1.505,0.0187,0
What is the state of matter of dysprosium at room temperature?,science,0.3667,0.21,-0.8086,-2.433,0.7873,0.511,1.3176,1.4753,0.0791,0
In what year was the Second Battle of Ypres?,history,0.3667,0.21,-0.7589,-2.082,0.7166,0.4388,1.3226,1.4666,-0.0602,0
Who led the Indian independence movement using nonviolent resistance?,history,0.6,0.24,-0.5562,-2.4629,0.6769,0.3874,1.351,1.5281,-0.1857,0
What is 8 factorial divided by 6 factorial?,math,0.3,0.1433,-1.0366,-2.4797,0.782,0.4715,1.3291,1.4949,0.1543,1
What is the largest known prime number type used in cryptography?,science,0.6,0.24,-0.4986,-2.3437,0.6411,0.338,1.3271,1.5058,0.0204,0
What is the name given to the layer of the Sun that is visible to the naked eye?,science,0.6,0.24,-0.4889,-2.3891,0.5954,0.2922,1.3243,1.4911,-0.0922,0
What is 12 factorial?,math,0.6,0.24,-0.4827,-2.0781,0.5282,0.2442,1.3311,1.5486,0.0888,0
In what year did the Soviet Union collapse?,history,1.0,0.0,-0.2181,-0.3956,0.1015,0.0007,1.3061,1.4793,0.0053,0
What is the square root of 6724?,math,1.0,0.0,-0.1934,-0.389,0.1039,0.0001,1.3414,1.5357,0.0003,0
